ID,Source,Project Name,Date of publication,Project timeline,Theme(s),Theme(s),OGC Tech Trend,,,,,,,,Emerging technology,,,,,,,,,Technology Readiness Level,,,,,,,,,,,,,,Public value,,,,,,,,,,,,,,,,,,Government members delivering Project,Other Members delivering project,Key findings - technology,Key findings - use case,Key findings - governance ,Key findings – open challenges,Key findings - additional notes,link to more info,
P31,https://resource.esriuk.com/esri-resources/sport-wales/,Sports Wales: Improving Access to Sporting Facilities in Wales,2017,,Recreation; sports; culture,8.1,,,,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,1,Wales,,,,,,,1,,1,,,1,,,,1,,,1,,,1,1,,Sports Wales,ESRI; University of South Wales,GIS geospatial analysis plug-in. Solution designed to take users with no experience in GIS through analysis process in a series of easy to follow steps -  used database of sporting facilities and OS open source road network data with demographic data.,Tool provides Welsh Government; local authorities and national sports governing bodies with clear evidence of where to invest to deliver health benefits for the widest number of people. (increasing access to facilities close to home - analysis on where sports facilities are and how many people could potentially use them). Analysis performed on travel distance; age generate; socio-economic status and facilities for the first time. Floating catchment gives greater flexibility; e.g. adjust travel time parameters as people may be prepared to travel further in rural areas. ,Based on tools developed by University on South Wales - Floating Catchment area models to examine spatial patterns of accessibility to public services. Collaboration; will ne used by up to 40 separate sport governing bodies.,,,,
P32,https://resource.esriuk.com/esri-resources/avon-somerset-constabulary/,Avon & Somerset Constabulary: Policing GIS System,2017,,Police Services,3.1,,,,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,5,Somerset; Bristol; Bath and North East Somerset; North Somerset; South Gloucestershire,,,1,1,1,1,,,,,,,,,1,,,1,,,Avon and Somerset Constabulary,ESRI,GIS; new application - SWEET - existing software tool (designed to be used by non-technical police sergeants after a small amount of training),Using GIS to make more well-informed decisions and implement operational beat changes more quickly to improve the effectiveness of neighbourhood policing teams. Documented outcomes include: 15 days of police time saved every time a beat is changed; typically four or more times a year;' design and consultation process for new beats reduced from 6 months to 1 month; beats can be changed more frequently to meet evolving needs of the community. Spatial analysis required over 121 defined territories knows as beats with decimated neighbourhood policing teams. Expected that it will enable police to be more responsible to communities reacting to changes in demand. ,,,,,
P33,https://resource.esriuk.com/esri-resources/lochlomond/,Loch Lomond: Protecting and Enhancing the Natural Park,2017,,Protection of Biodiversity and Landscape,5.4,1,,,1,1,,1,,,,,,,,,,,,,,1,1,United Kingdom,,,1,Highlands and Islands,,,,,1,1,1,1,1,,,,,,,,1,,,,,1,Loch Lomond and the Trossachs National Park,ESRI,GIS; Online platform and mobile and tablet GIS  data collection surveying apps. ,Collect better data; monitor conservation activities more successfully and make faster interventions to protect national park. Documented outcomes included improved customer satisfaction with 50% fewer calls relating to failures in grounds maintenance; projected cost savings of at least 10% reinvested in grounds or used to lower customer charges; 6*% of process steps removed ort automated and weeks of effort saved in new transparent process. ,,In previous system data was collected in paper format and manually entered into spreadsheets. ,,,
P34,https://resource.esriuk.com/esri-resources/westcountry-rivers-trust/,Westcountry Rivers Trust: Leading a Collaborative Approach to River Conservation,2017,,Protection of Biodiversity and Landscape,5.4,,,,1,1,1,1,,,,,,,,,,,,,,1,1,United Kingdom,1,South West,,,,,,,1,1,1,,,1,,,1,,,,1,,,,,1,,ESRI; Westcountry Rivers Trust; Rivers Trust,GIS Online and data from national umbrella body. Interactive digital maps. ,Documented benefits: improved understanding of environmental challenges among diverse groups; More effective and collaborative decision making about conservation priorities; targeted conservation projects that address urgent environmental issues.,Enabling collaboration between stakeholders from local authorities; utilities; water sports operators and farmers. Shared responsibilities to manage river environment. Aims to facilitate open communication and agreement for river conservation schemes. Enabling river catchment partnerships across the country. ,,,,
P35,https://resource.esriuk.com/esri-resources/norfolk-county-council-2/,Norfolk County Council: Improving the Commissioning of School Transport for Vulnerable Children,2017,,Transport; family and children; pre-primary and primary education; secondary education,4.5; 10.4; 9.1; 9.3,,,,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Norfolk ,,,1,,1,1,,1,,,,1,,,1,,,1,1,,Norfolk County Council,ESRI,GIS (using some time; applied to new use case and married with new data warehouse - SEN Travel Viewer app,Allows the SEN transportation team to view a map of Norfolk and see where pupils live; which schools the attend; what kind of vehicle they travel in; if they travel alone and how far they travel. Investigate anomalies; such as two pupils in adjacent villages having separate transport to same school. Use app to plan and commission mist appropriate journeys accounting for existing travel arrangements.,,,In the future; the SEN Travel Viewer app will also be used to help pinpoint the most advantageous locations for new SEN schools and facilities; based on the proximity of the young people who require access to these services.  The council will be able to identify central locations and plan strategically to reduce journey times and improve convenience for pupils and their families.  In this way; ArcGIS will continue to play a key role in helping the council to improve both the quality and cost efficiency of SEN provision throughout the county in the years ahead.,,
P36,https://resource.esriuk.com/esri-resources/south-ayrshire-council/,South Ayrshire Council: Citizen Engagement with Policy Making,2017,,Community development; cross-cutting,6.2; cross-cutting,,,,1,1,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,South Ayrshire,,,1,,1,1,,1,,,1,,1,1,1,,,1,,,South Ayrshire Council,ESRI,GIS Platform; Informative Story Maps to communicate information to citizens; businesses and its own employees.,Story maps to engage citizens; business and own employees about issues related to the local economy and council operations. Documented impacts include: increased citizen engagement in policy issues; greater understanding of development priorities; helping boost the local economy; effective employee communications; leading to cost efficiencies; captivating publicity for South Ayrshire; supporting the region's tourism industry.  Particularly focused on raising public awareness of the Local Development Plan. Local plan viewed 3000 more times; accessed more times in first five weeks than 12 months. More visual way of presenting proposed boundary changes.,,,In particular; it wanted to increase public awareness of its Local Development Plan; a strategic policy document that sets out the council’s land use priorities.  It had published a copy of the plan on its website; but this pivotal document – which could potentially impact on the lives; homes and businesses of over 111;000 people in South Ayrshire – was only downloaded 1;500 times in 12 months.,https://gis.south-ayrshire.gov.uk/ldp/,
P37,https://resource.esriuk.com/esri-resources/carlow-county-council/,Carlow County Council: Augmenting the Planning Application Process,2017,,Community Development,6.2,,,1,1,1,1,,,,,,,,,,,,,,,1,1,Republic of Ireland,,,,,,,1,Carlow,1,,1,1,1,1,1,,1,,1,,1,,,,,1,Carlow County Council,ESRI,GIS Platform (used platform for 2 years developed new use case and functionality); analytical functions to assess appropriateness of plans based on social; environmental data drawn from other sources. Access to digitalized plans.,Designed and developed a new state-of-the-art planning application system based on GIS technology. Planning GIS - integrates with existing iPlan planning admin database. Now when planning applications received; the site location maps are digitalised and verifiable. Planning register accessible to employees across council and can be accessed by public and commercial organisations via web map services. Draws in supplementary information including from the office of public works; national park and wildlife services and department of environment - enables easier access of site location and potential conflicts; location in proximity to special conservation zones etc. Documented results include: planners saving time due to automated GIS analysis capabilities; the council has better information to support faster; well informed planning decisions; citizens; developers and professionals have better access to information online.,,,,https://www.arcgis.com/apps/webappviewer/index.html?id=393aff56d4b547b0888bb3798d34128e,
P38,https://www.esri.de/branchen/gis-kommunalverwaltungen/geoinformationen-stadtplanung,Starnberg District Office: Geoinformation for Development Plans,,,Community Development,6.2; cross-cutting,,,,1,1,1,,,,,,,,,,,,,,,1,1,Germany,,,,,1,Starnberg,,,1,1,1,1,,1,1,,,,1,,,,,,,,Starnberg District Office,ESRI,"GIS platform (scale-dependent base map for the district) In the geographic information system of the city of Starnberg; almost all data that have a spatial reference are brought together and made available to the citizens.

As a citizen service; the GIS offers the following services:

Aerial photos
Current city map with street directory
Solar cadastre
Noise register

In addition to these special topics; it contains other infrastructure facilities such as alarm zones; fire brigade houses; drinking water protection areas; floodplain areas and water level measurement gauges.

The flood model calculation for Herrschinger Bucht is also integrated in the application. On the basis of an entered water level; the model calculates the areas in the Herrschinger Bucht that are flooded by the flood at this water level.",GIS system for development plans; provides information on important urban development statues with different displace options.,,,,https://geolis.lk-starnberg.de/GeoLISmapapps/resources/apps/Bebauungsplaene/index.html?lang=de,
P39,https://lra-roth.maps.arcgis.com/apps/MapSeries/index.html?appid=5b10661e157346bbbac2a7fafba802fd,Urban Development: Solar Roof Cadastre,2014,,Community Development; Pollution abatement; Fuel and energy,6.2; 5.3; 4.3,,,,1,1,1,,,,,,,,,,,,,,,1,1,Germany,,,,,1,District of Roth,,,1,,1,,1,,,,,,,,1,,,,,1,Roth District Council,ESRI,GIS Platform. Does not seem like it is searchable by address. ,GIS system and analysis to calculate the irradiation potentials of rooves and provide information to citizens. The platform also shows whether citizen's buildings are under monument protection so it is possible to determine whether special permits are necessary for solar. ,,Does not seem like it is searchable by address.,,https://lra-roth.maps.arcgis.com/apps/MapSeries/index.html?appid=5b10661e157346bbbac2a7fafba802fd,
P40,https://www.stadt-koeln.de/politik-und-verwaltung/gebaeudewirtschaft/bau-projekte/,GIS Platform for Construction Projects in the City of Cologne,,,Community development; cross-cutting,6.2; cross-cutting,,,,1,1,1,,,,,,,,,,,,,,,1,1,Germany,,,1,Cologne,,,,,1,1,1,1,1,1,1,,,,1,,,,,,,,City of Cologne,ESRI,GIS system - web map on municipality website,GIS system for those affected to find out about public construction projects,,,,,
P41,https://statistik.hessen.de/Geo-Strassenverkehr,Road traffic accidents in Hessen,,,Transport,4.5,1,,,1,,1,,,,,,,,,,,,,,,1,1,Germany,1,Hessen,,,,,,,,,,,,1,1,,,,1,,,,,,,,Statistics Hessen; Geoinformation Competence Center,ESRI,Geo-referenced data on road accidents to be accessed online; displayed on scale of 1km2 grids; another map shows road deaths since 2010. ,The Geoinformation Competence Center (CCG) of the Hessian State Statistical Office enables geo-referenced data on road accidents to be accessed online - very easily and conveniently at the click of a mouse. You can zoom in very close: For example; you can see at a glance how many accidents actually happened in your own living area or which danger spots are on your daily commute.,,,,https://unfallatlas.statistikportal.de/?BL=HE,
P42,https://www.esri.com/news/arcnews/spring10articles/server-gis-buses.html, Danish Public Transit Agency: Bus Operations and Maintenance,2010,,Transport,4.5,1,1,1,,,1,,,,,,,,,,,,,,,1,1,Denmark,,,,,1, Copenhagen,,,1,,1,1,1,1,,,,,1,,1,,,1,,,Movia (Public Transit Agency),ESRI; Informi GIS A/S,ArcGIS Server Solution. New system promotes better integration between internal IT systems. Working towards a system that can make recommendations on optimal network based on employment; education; commuting and demographic patterns but not there yet.  ,Route planning tools to ensure better transit service to outlying communities. Goal to design a more efficient work flow; increase customer service by providing real-time transit information and create an integrated planning system.  Also wanted relevant data to perform analysis and forecasting to enhance transit planning. Did not exist off the shelf so worked with ESRI to create a solution. Main outcomes linked to operational efficiency (ease of access to information for planners) and improves access for outlying communities. Expected impact is increased use of public transport but not identified in case study. ,,Data fragmented across departments internally. Difficult to access information on educational facilities; demographic characteristics etc. ,,,
P43,https://www.esri.com/about/newsroom/publications/wherenext/rotterdam-autonomous-ships-and-digital-twin/,The Digitalization of the Port of Rotterdam,2018,Ongoing,Transport; General economic; commercial and labour affairs,5.4; 4.1,1,1,1,1,1,1,1,,,,,,,1,,1,,1,,,,1,Netherlands,,,,,,,1,Rotterdam,1,1,1,1,1,1,,,,,1,,,,,,,,Port of Rotterdam ,ESRI,"Centralized GIS system for asset management; integrating terabits of big data - connections to SAP; Microsoft Office and a document management system. Accessible by mobile
device; can navigate to an area and clock for more information.

The real-time devices; powered by the Internet of Things (IoT); will take in all types of data; including water temperatures; tidal conditions; the salinity of the sea; water currents; wind direction and speed; loading and unloading operations; and what berth space is available and when.

The information will be parsed by a program capable of real-time; big data analysis. Central to that examination will be a GIS that gathers; manages; and analyses the port’s data; providing critically needed context. Through maps and simulations of the port’s assets and conditions—for instance; where its gantry cranes are located at a particular moment; or how close a ship is to a quay wall—GIS reveals insights that raw data might not provide; including patterns and relationships in real time. That not only helps port managers run more efficient operations today; it will also serve as a pillar of tomorrow’s world of autonomous ships.

To reach the ultimate goal of being the first port in the world to accept autonomous ships; the Rotterdam team is working to create a digital twin of the port.

Rotterdam’s GIS-powered digital twin would allow port managers to view the operations of all the primary players (see sidebar for more on a port’s operations). It would provide an accurate; current picture of what is going on in the port; everything from the weather to how many ships are sailing about; their speed; and where they are headed. Simulations would be run digitally to improve efficiency and save money in the real port.

Rotterdam officials anticipate being able to pinpoint the best times for ships to berth and offload or take on cargo; because the digital twin simulations will give them the optimal water depths and berth vacancies; among other variables.",Asset management; access to real-time information. Focused on interface between land; water and infrastructure. In the process managed to phase out 29 other systems. Now; more than 1;000 digital maos created each day to guide operations and decision-making. All Port of Rotterdam data presented virtually. Documented outcome: since implementing the new system; the port has seen an increase in throughput to 461 million tons; a 15% increase since 2013.  ,,"Before solution introduced; several legacy systems different employees and assets in silos. 

Going forward: “What the maritime industry of the future will demand is hyper-precise; standardized; secure; and reliable port data with real-time information about the conditions in the port; whether it is the water heights; tidal streams; or wind conditions;” he says.

These up-to-the-second capabilities are similar to what is going on in the realm of autonomous cars. Driverless vehicles need real-time information to keep their passengers safe under changing driving conditions—just as an arriving or departing ship must know exactly what’s happening around it at all times.",,,
P44,https://www.esriitalia.it/case-history/utilities/59-il-nuovo-sistema-gis-per-gaia,Water Asset Management in Northern Tuscany,,,Water Supply; Waste Water Management,6.3; 5.2,,,,1,1,,,,,,,,,,,,,,,,1,1,Italy,,,1,Tuscany,,,,,1,1,1,1,1,,,,,,,,,,,,,,GAIA,ESRI,GIS system - mobile application to help staff in the field - Maximo EAM Asset Management software.  ,GIS system to manage data relating to water; sewage and industrial networks through desktop component for updating and undertaking complex analysis; a and a web component for disseminating the firnoamton,,,,,
P45,https://www.esriitalia.it/case-history/pubblica-amministrazione/76-comune-di-milano,The Municipality of Milan Geoportal,,,Community Development; Police Services; General Economic; Commercial and Labour Affairs ,6.2; 3.1; 4.1; cross-cutting,,,,1,1,1,,,,,,,,,,,,,,,,1,Italy,,,,,,,1,Milan,1,1,1,1,1,1,,,,,1,,,,,,,,City of Milan,ESRI,GIS Geoportal,Geographic portal to publish territorial data in an open former and to manage flow of territorial data held by different departments in to n interconnected system Ambition to improve profitability and efficiency of municipality. The new platform; built thanks to Esri technology; allows to manage and share in an integrated way all the geographic data of the organization; internally between the various sectors; and to provide some services externally. Among the various uses of the IT structure created for the Municipality of Milan; we highlight the Geoportal ; which has been re-engineered; the new management system ; the urban planning and tax analysis tools ; the Web-GIS application for reclamation ; the risk map in support of the operations of the local police; which was fundamental in the management of Expo2015.,,,,https://www.youtube.com/watch?v=gnuADgkGp6s,
P46,https://www.esriitalia.it/case-history/pubblica-amministrazione/361-regione-puglia-strumenti-innovativi-per-condividere-i-dati-geografici,Regional Territorial Information System of Puglia,,,Community Development,6.2;  cross-cutting,,,,1,1,1,,,,,,,,,,,,,,,1,1,Italy,,,1,Puglia,,,,,1,1,1,,1,,,,,,,,,,,,,,Regional Government of Puglia,ESRI,"GIS system. regional plans adopted or approved; 
services related to Administrative Procedures such as Landscape Authorization; Single Authorization; SEA;
services of transversal interest such as; for example; the consultation; query and download of territorial data;
consultation of territorial and environmental indicators;
catalogue of state property and regional heritage;
WMS services;
cadastral services;
GPS / GLONASS positioning services;
metadata catalogue.",GIS system to support the drafting of the territorial landscape plan. The Regional Territorial System of Puglia: The SIT-Puglia represents a consolidated and technical tool available to local administrations; capable of responding to the needs of territorial analysis and the various problems related to the use of new tools and the production of databases.,,,,,
P47,https://www.esriitalia.it/case-history/trasporti/137-la-piattaforma-gis-per-la-sorveglianza-stradale-di-roma-capitale, GIS Platform for Road Surveillance in Rome,,,Transport,4.5,1,,1,1,1,,1,1,,1,,,,,,,,,,,1,1,Italy,,,,,,,1,Rome,1,1,1,1,1,,,,,,,,1,,,1,,,Rome Mobility Agency,ESRI,GIS Platform; integrating data sets. Applications integrated into the GIS platform to  operators to send reports; an application that sends automatic reports; a GIS web interface and a dashboard. Also uses Online Cloud Platform. Includes cadastral archives (updated periodically through an exchange system with the revenue agency; regional plans for water protection; landscape; coasts; hydrogeological; state property; regional heritage; environmental indicators etc. It is a consolidated tool for local administrations which can be shared and accessed online. ,A system to enable the monitoring of road repairs across the city. Analysis to help identify priorities; aligned with repair schedule & increase collaboration. Other tools have been added including an urban tax analysis tool; and Wb-GIS application for reclamation and a risk map for local police. Documented outcomes: promote sharing of administrative data; reduction in costs. Now open to citizens. ,the Web form (GeoForm); which allows an authorized user of the Mobility Agency or the Traffic Police Command to operate on the basis of the reports;,,,,
P48,https://www.esriitalia.it/case-history/trasporti/139-dati-open-in-arcgis-online-il-caso-dell-agenzia-per-la-mobilita-di-roma,Open data: Rome Mobility Agency,,,Transport,4.5,1,,,1,1,1,1,1,,,,,,,,,,,,,1,1,Italy,,,,,,,1,Rome,1,1,1,1,1,1,1,,,,1,,,,,,,,Rome Mobility Agency,ESRI,GIS platform; online open access to data. API to real-time data also available.,Open data platform for transport; including positioning of traffic lights; boundaries of limited traffic areas; parking areas etc. API to real time ,,,,https://romamobilita.it/en/technologies/open-data,
P49,https://www.esriitalia.it/case-history/trasporti/136-atac,GIS Parking Solutions in Rome,,,Transport,4.5,1,,,1,,,1,,,,,,,,,,,,,,,1,Italy,,,,,,,1,Rome,1,,,,1,,,,,,,,1,,,1,,,ATAC (Public Transport Company),ESRI,Tool which captures real-time bus information as an info-service and developing a platform which enables motorists to identify the nearest parking space through a dedicated map and pay online.,Development of an application to enable on-street parking and identify the nearest parking lot. For those who have a smartphone; the infomobility service; in addition to allowing the payment of on-street parking; also provides other functions that allow you to identify the nearest parking lot and view the parking areas of interest through a dedicated map.,,,,https://www.esriitalia.it/images/pdf/15aConferenza/leggeri.pdf,
P50,https://www.esriitalia.it/case-history/600-adr,Smart Airport: Rome,2019,,Transport,4.5,1,,,1,1,1,1,,,,,,,,,,,,,,1,1,Italy,,,,,,,1,Rome,1,1,1,1,1,,,,,,,,1,,,1,,,ADR,ESRI,GIS platform with several applications. Integration of BIM for design; maintenance and construction of infrastructures. Integration of sensors for real time information for control of operations. The platform supports the design analysis process and will integrate with BIM for the design; maintenance and construction of infrastructures,"ADR's Geographic Information System is a platform that hosts various applications developed using the ArcGIS Platform. The platform supports the design analysis process and will integrate with BIM for the design; maintenance and construction of infrastructures.

The platform also supports operational staff in safety on the runway through non-compliance reports thanks to applications to be used in the field with georeferencing service. safety of run ways/ guide the passenger to discover airport services. Report increasing quality of services for passengers and made safety operations more efficient. ",,,,,
P51,https://download.tomtom.com/open/banners/Helsinki-Case-Study-Traffic-Stats.pdf,Road Traffic Management in Helsinki,2020,,Transport,4.5,1,1,1,1,,1,1,,,,,,,,,,,,,,1,1,Finland,,,,,,,1,Helsinki,1,,,1,,,,,,,,,1,,,1,,1,City of Helsinki,TomTom,Data from TomTom Traffic stats fuelled the City of Helsinki's in-depth analysis of congestion per street and time across the city. Via developer APIs or server-to-server bulk feed; TomTom Real-Time Traffic brings coverage scalability to your current monitoring infrastructure. ,"The City of Helsinki
monitors/follows
the development
of the traffic flow
using TomTom data.
Monitoring produces
information that is
used to support traffic
planning and related
decision-making. The city of Helsinki recently published a study on traffic flow authored by traffic specialist
Petri Blomqvist. It is an example of best-in-class problem solving initiatives created using
TomTom’s data. This study; based on seven years of data between 2010 and 2017; uses
TomTom Traffic Stats commercial data to measure delay times per kilometre and identify
high-congestion streets or areas throughout the city. Blomqvist’s study was only possible to this extent thanks to the highly granular and precise
data from TomTom Traffic Stats. TomTom’s data is well-suited for any kind of evaluation on
traffic congestion. With Traffic Stats; it is easy to perform city; city section; and street-level
traffic analysis for an accurate understanding of what makes traffic slow down or stop.
Ultimately; this analysis can help cities take measures to reduce congestion and improve
traffic flow. ",,Prior traffic studies were performed by installing probes in three cars that drove through traffic along 14 predefined routes. This probe data was extremely limited and caused problems with variability; as it only measured point studies. In comparison; TomTom Traffic Stats data are based on millions of anonymous probes which are evaluated and analyzed automatically. These data are highly precise and reliable. I,,https://download.tomtom.com/open/banners/Helsinki-Case-Study-Traffic-Stats.pdf,
P52,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/administracion-/ayuntamiento-de-mostoles,Mostoles Town Hall,,,Community Development,6.2;  cross-cutting,1,,,1,1,1,1,,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Mostoles,1,1,1,1,1,1,1,,1,,1,,,,,,,,Mostoles City Council,ESRI,GIS Platform (had existing platform but wanted to make the platform more interactive for citizens - speed up decision making for government; technical services and citizens. Linked to sensors in different parts of the city; starting with streetlights. Linked to an app; story maps.,Open data platform; story maps to nform residents of actions carried out. Documented outcomes include; economic savings since data is integrated into the same solution; real tie information; interaction with citizens; citizen participation; transparency; data for decision making.,,,,,
P53,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/administracion-/callejero-de-valladolid,Valladolid Street Map,,,Community Development; transport; cross-cutting; Other industries (Tourism);,6.2;  4.5; 4.7; cross-cutting,,,,1,1,1,,1,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Valladolid,1,1,1,1,1,1,1,,,,1,,,,,,,,Valladolid City Council,ESRI,GIS (had existing platform for information collected by cartographic department; update daily but had ot been open to other departments or citizens) ,Updated local street maps using GIS platform. Developed a mobility map (car parks; electric vehicle charging points bicycle loans); Georeferenced historical maps; tourism map (tours of interest; hotels; related nfo). Documented benefits: integrated map will form basis for new corporate GIS platform. ,,Driven by need to update local street maps; including for the benefit of taxi drivers; transporters; civil protection teams and other professionals.,,,
P54,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/administracion-/granada-human-smartcity, Granada Human Smart City ,,,Community Development; Other industries (Tourism); Transport; cross-cutting,6.2; 4.5; 4.7; cross-cutting,1,,,1,1,1,1,,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Granada,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,Granada City Council,ESRI; IDOM (built spatial data infrastructure that brings together all city geospatial data into a unified GIS. Obtained inventory of real estate infrastructure of neighbourhoods; UNESCO heritage sites and other data ,GIS; 3D; photogrammetric flight for urban cartography. Developed 3 dimensional version of elements of tourist interest; can view on any mobile device.,Aim to make the Albaicin neighbourhood universally accessible to all regardless of physical condition; age or place of origin and promote the accessibility of cultural heritage and the promotion of smart and sustainable tourism; all with the use of innovative; integrated and efficient information technologies. Integration of geospatial data into a single platform from dispersed departments without harmonization of reference systems. Information to be used to develop first smart urban management strategy. The geographic viewer allows calculating the optimal route according to the mobility profile of each user; and visualize it in 3D.  Anyone with mobility difficulties can obtain info. Outcomes documented: greater accessibility for people with reduced mobility; access to cultural heritage sites. Better citizens for services; information with which they can make decisions.  Also possible to print model that allows blind people to interact with these elements. Granada Accessible App built on the GIS functionalities. ,,,,,
P55,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/administracion-/xeoportal-santiago,Xeoportal IDE Sanitago de Compostela,,,Community Development; cross-cutting,6.2; cross-cutting,,,,1,1,1,,,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Santiago de Compostela,1,1,1,1,1,1,1,,,,1,,,,,,,,City Council of Santiago de Compostela,ESRI,GIS platform integration. Geoportal (web viewer; thematic viewer; information download section; section rented specifically to urban management/planning. ,Integrated GIS platform; particularly designed for urban planning. Benefits documented include: making all local geographic information available to citizens and urban management professionals. Any user can make enquiries on cadastral information or protected area. Supports city department decision making. ,,,,,
P56,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/medio-ambiente/incendio-donana,GIS for Fire Management in the Donana National Park,2017,,Fire Protection Services; Civil Defence,3.2; 2.2,1,,,1,1,1,1,,,,,,,,,,,,,,1,1,Spain,,,1,Andalucía,,,,,1,1,1,1,1,,,,,,,,1,,,1,,1,Andalusian Ministry of the Environment and Spatial ,ESRI,Online GIS platform to capture real time data; collaborative map all elements related to fire (extinction areas; propagation; deployment of devices; firefighters; police; medical personnel etc.,Integrated platform for management of fire. Documented outcomes: work collaboratively and have access to real time information; improve decision making in the field - work offline and online.,,,,,
P57,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/medio-ambiente/el-uso-del-gis-para-el-control-y-respuesta-al-mosquito-tigre,The use of GIS for the control and response to the Tiger Mosquito ,2017,,Public Health,7.4,,,,1,1,1,,,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Madrid,1,1,1,,1,,,,,,,,,,,,,,Madrid City Council; Madrid Salud,ESRI,Geographic Information Systems are of vital importance for locating areas prone to harbouring microfoci of reproduction; as well as for managing human resources; entomological surveillance fleets and spatial information.,Monitoring the expansion and spread of tiger mosquitos in Madrid. Inventory of areas nesting but also managing human resources such as entomological surveillance fleets. Collecting information on common breading grounds such as terraces that accumulate water; tires; gas stations; rest areas; workshops scrap yards; urban gardens etc. Documented outcomes: accurate and detailed inventory of risk areas; management and prevention in expansion areas; share information across organization in real time and discover patterns of behaviour.,The Madrid City Council; through Madrid Salud; is carrying out a project to prevent its arrival and expansion in Madrid.,,,,
P58,http://smartcity.valencia.es/vlci/monitoring-of-solid-waste-hauling-vehicles-and-street-sweeping/,Monitoring of Solid Waste Hauling and Street Sweeping Vehicles: Smart City Valencia,,Ongoing,Waste management,5.1,1,,,1,1,1,1,,,,,,,,,,,,,1,,1,Spain,,,,,,,1,Valencia,1,1,1,1,1,,,,,,,,1,,,1,,1,Smart City Office Valencia,, Sensorization of urban waste vehicles and cleaning and integration into a single platform to enable coordination of activities,"The aim of this project is to provide a single corporate computing platform that allows the integration of all the different systems in which information is currently being introduced by the areas that carry out field activities. This platform will ensure the creation; development and implementation of a horizontal information tool that guarantees an adequate coordination of field operations in relation to the different activities of the city: maintenance; management and inspection; thus integrating on the VLCi Platform all the information that is extracted from the vehicles.  Goals are as follows: Increase synergies between the different municipal areas that perform field tasks.
Manage information from field activities in a joint manner; thus facilitating communication between areas.
Avoid duplicities in the activities; making it more efficient and avoiding inconvenience to the public.
Total integration in a single platform of the maintenance and common activities management of the different services of the City.
Enable a coordinated and agile response to situations that require the performance of field work in an unscheduled manner.
Broaden and globalize communication to citizenship about the characteristics and activities of the maintenance activity.",,,,,
P59,http://smartcity.valencia.es/vlci/city-heritage-smart-management/,Smart Heritage Management: Smart City Valencia,,,Other industries (tourism,4.7,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Valencia,1,,1,1,,,,,,,,,1,,,,,1,Smart City Office Valencia,,"sensors including (temperature and humidity; light; radiation; gas; presence detectors; display monitoring; surveillance cameras). The obtained data is transmitted to the VLCi platform for monitoring of the environmental conditions of the Museum; enhancing real time alarms for a quicker security response.
The data can be visualized through dashboards or at the GIS Portal of the City Council. In addition; internal KPIs can be generated to know the evolution of the key parameters of the installation.",The protection of this environment includes the deployment of a meteorological station that together with the temperature and humidity sensors that will help to maintain the right environmental conditions in the museum and guarantee the correct preservation of the archaeological remains. Security will also be improved by means of presence sensors and video surveillance.,,,,,
P60,http://smartcity.valencia.es/vlci/efficient-management-of-limited-mobility-parking-load-unload-parking-for-carriers-and-taxi-street-parking/,Smart Parking: Smart City Valencia,,Ongoing,Transport,4.5,1,,,1,,,1,,,,,,,,,,,,,1,,1,Spain,,,,,,,1,Valencia,1,,1,1,1,1,,,,1,1,,1,,,1,1,1,Smart City Office Valencia,,Use of sensors to monitor loading and unloading and loading areas and taxi ranks to provide status for people with limited mobility.,"It will provide real-time information on the status of parking spaces for limited mobility collectives (425 seats); loading and unloading areas (125 seats) and taxi rank areas (126 seats).
This initiative is expected to be just the first step towards the total sensorization of these spaces in the city. It will benefit citizenship in several ways: efficiently manage parking spaces for limited mobility collectives; checking whether the user is authorized or not; locate taxi stops with vehicles or; in the case of carriers; find out whether a loading and unloading area is in use and whether its use can be booked in an scheduled manner or not.",,,,,
